type,date,close
Ariana Grande,2008-05-01T00:00:00Z,0
Ariana Grande,2008-06-01T00:00:00Z,0
Ariana Grande,2008-07-01T00:00:00Z,0
Ariana Grande,2008-08-01T00:00:00Z,0
Ariana Grande,2008-09-01T00:00:00Z,0
Ariana Grande,2008-10-01T00:00:00Z,0
Ariana Grande,2008-11-01T00:00:00Z,<1
Ariana Grande,2008-12-01T00:00:00Z,0
Ariana Grande,2009-01-01T00:00:00Z,0
Ariana Grande,2009-02-01T00:00:00Z,0
Ariana Grande,2009-03-01T00:00:00Z,<1
Ariana Grande,2009-04-01T00:00:00Z,0
Ariana Grande,2009-05-01T00:00:00Z,<1
Ariana Grande,2009-06-01T00:00:00Z,<1
Ariana Grande,2009-07-01T00:00:00Z,<1
Ariana Grande,2009-08-01T00:00:00Z,<1
Ariana Grande,2009-09-01T00:00:00Z,<1
Ariana Grande,2009-10-01T00:00:00Z,0
Ariana Grande,2009-11-01T00:00:00Z,<1
Ariana Grande,2009-12-01T00:00:00Z,<1
Ariana Grande,2010-01-01T00:00:00Z,<1
Ariana Grande,2010-02-01T00:00:00Z,<1
Ariana Grande,2010-03-01T00:00:00Z,<1
Ariana Grande,2010-04-01T00:00:00Z,<1
Ariana Grande,2010-05-01T00:00:00Z,<1
Ariana Grande,2010-06-01T00:00:00Z,1
Ariana Grande,2010-07-01T00:00:00Z,1
Ariana Grande,2010-08-01T00:00:00Z,1
Ariana Grande,2010-09-01T00:00:00Z,<1
Ariana Grande,2010-10-01T00:00:00Z,<1
Ariana Grande,2010-11-01T00:00:00Z,1
Ariana Grande,2010-12-01T00:00:00Z,1
Ariana Grande,2011-01-01T00:00:00Z,1
Ariana Grande,2011-02-01T00:00:00Z,1
Ariana Grande,2011-03-01T00:00:00Z,1
Ariana Grande,2011-04-01T00:00:00Z,1
Ariana Grande,2011-05-01T00:00:00Z,1
Ariana Grande,2011-06-01T00:00:00Z,3
Ariana Grande,2011-07-01T00:00:00Z,3
Ariana Grande,2011-08-01T00:00:00Z,4
Ariana Grande,2011-09-01T00:00:00Z,2
Ariana Grande,2011-10-01T00:00:00Z,2
Ariana Grande,2011-11-01T00:00:00Z,2
Ariana Grande,2011-12-01T00:00:00Z,3
Ariana Grande,2012-01-01T00:00:00Z,2
Ariana Grande,2012-02-01T00:00:00Z,2
Ariana Grande,2012-03-01T00:00:00Z,2
Ariana Grande,2012-04-01T00:00:00Z,3
Ariana Grande,2012-05-01T00:00:00Z,3
Ariana Grande,2012-06-01T00:00:00Z,4
Ariana Grande,2012-07-01T00:00:00Z,7
Ariana Grande,2012-08-01T00:00:00Z,8
Ariana Grande,2012-09-01T00:00:00Z,4
Ariana Grande,2012-10-01T00:00:00Z,3
Ariana Grande,2012-11-01T00:00:00Z,3
Ariana Grande,2012-12-01T00:00:00Z,4
Ariana Grande,2013-01-01T00:00:00Z,5
Ariana Grande,2013-02-01T00:00:00Z,3
Ariana Grande,2013-03-01T00:00:00Z,7
Ariana Grande,2013-04-01T00:00:00Z,11
Ariana Grande,2013-05-01T00:00:00Z,13
Ariana Grande,2013-06-01T00:00:00Z,20
Ariana Grande,2013-07-01T00:00:00Z,19
Ariana Grande,2013-08-01T00:00:00Z,21
Ariana Grande,2013-09-01T00:00:00Z,19
Ariana Grande,2013-10-01T00:00:00Z,14
Ariana Grande,2013-11-01T00:00:00Z,16
Ariana Grande,2013-12-01T00:00:00Z,14
Ariana Grande,2014-01-01T00:00:00Z,16
Ariana Grande,2014-02-01T00:00:00Z,9
Ariana Grande,2014-03-01T00:00:00Z,9
Ariana Grande,2014-04-01T00:00:00Z,13
Ariana Grande,2014-05-01T00:00:00Z,30
Ariana Grande,2014-06-01T00:00:00Z,24
Ariana Grande,2014-07-01T00:00:00Z,29
Ariana Grande,2014-08-01T00:00:00Z,43
Ariana Grande,2014-09-01T00:00:00Z,47
Ariana Grande,2014-10-01T00:00:00Z,20
Ariana Grande,2014-11-01T00:00:00Z,25
